Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11
;21.- VISADOS DE DIRECCIÓN DE OBRA NUEVA;;;;;;;;;;
;;;;;;;;;;;
;N.º de viviendas y superficie media según destino principal;;;;;;;;;;
;;;;;;;;;;;
;Granada;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Sep;368.0;412.0;3.0;137.168478;112.502427;;;71.0;854.0
;;Ago;342.0;552.0;0.0;125.342105;101.277173;;;120.0;1014.0
;;Jul;787.0;572.0;7.0;128.900889;104.244755;;;138.0;1504.0
;;Jun;326.0;168.0;5.0;137.306748;103.285714;;;33.0;532.0
;;May;672.0;455.0;57.0;133.708333;97.145054;;;170.0;1354.0
;;Abr;638.0;368.0;26.0;124.954545;96.831521;;;21.0;1053.0
;;Mar;506.0;722.0;5.0;138.195652;101.574792;;;132.0;1365.0
;;Feb;543.0;628.0;16.0;134.937384;102.673566;;;56.0;1243.0
;;Ene;346.0;329.0;17.0;131.942196;98.893617;;;49.0;741.0
1999;;Dic;352.0;504.0;6.0;138.991477;92.091269;;;63.0;925.0
;;Nov;505.0;625.0;4.0;132.336633;94.8688;;;30.0;1164.0
;;Oct;421.0;253.0;0.0;131.064133;95.75494;;;40.0;714.0
;;Sep;333.0;249.0;2.0;131.879879;102.578313;;;20.0;604.0
;;Ago;182.0;686.0;5.0;137.032967;103.046647;;;14.0;887.0
;;Jul;612.0;453.0;1.0;129.307189;103.520971;;;131.0;1197.0
;;Jun;474.0;524.0;15.0;138.843881;113.393129;;;38.0;1051.0
;;May;401.0;566.0;4.0;135.314214;98.515901;;;36.0;1007.0
;;Abr;434.0;198.0;4.0;134.571428;102.40404;;;23.0;659.0
;;Mar;586.0;545.0;1.0;124.96075;102.72844;;;53.0;1185.0
;;Feb;367.0;701.0;16.0;122.588555;108.791726;;;47.0;1131.0
;;Ene;419.0;433.0;1.0;128.17661;95.919168;;;45.0;898.0
1998;;Dic;382.0;318.0;2.0;126.98691;97.871069;;;9.0;711.0
;;Nov;461.0;329.0;1.0;137.991323;107.051671;;;46.0;837.0
;;Oct;335.0;207.0;10.0;137.340298;101.231884;;;25.0;577.0
;;Sep;260.0;332.0;5.0;137.876923;93.551204;;;134.0;731.0
;;Ago;201.0;195.0;9.0;134.044776;82.661538;;;20.0;425.0
;;Jul;489.0;507.0;0.0;132.218813;101.830374;;;53.0;1049.0
;;Jun;319.0;176.0;2.0;133.313479;101.948863;;;18.0;515.0
;;May;577.0;363.0;11.0;129.89948;108.283746;;;108.0;1059.0
;;Abr;208.0;154.0;2.0;142.3125;122.318181;;;4.0;368.0
;;Mar;437.0;212.0;3.0;134.496567;127.056603;;;20.0;672.0
;;Feb;285.0;141.0;6.0;138.505263;100.546099;;;489.0;921.0
;;Ene;235.0;188.0;0.0;140.425531;101.260638;;;12.0;435.0
1997;;Dic;386.0;261.0;1.0;118.398963;100.858237;;;44.0;692.0
;;Nov;324.0;256.0;2.0;126.805555;91.0;;;13.0;595.0
;;Oct;214.0;263.0;0.0;137.691588;96.653992;;;51.0;528.0
;;Sep;204.0;157.0;2.0;131.0;92.33121;;;24.0;387.0
;;Ago;178.0;290.0;12.0;120.460674;96.248275;;;5.0;485.0
;;Jul;302.0;691.0;3.0;137.284768;98.562952;;;163.0;1159.0
;;Jun;411.0;167.0;0.0;121.238442;95.047904;;;80.0;658.0
;;May;282.0;204.0;2.0;117.049645;102.029411;;;69.0;557.0
;;Abr;290.0;184.0;6.0;143.024137;95.445652;;;47.0;527.0
;;Mar;266.0;335.0;4.0;115.68421;92.737313;;;9.0;614.0
;;Feb;206.0;354.0;2.0;139.7233;107.703389;;;241.0;803.0
;;Ene;234.0;295.0;1.0;124.658119;90.403389;;;27.0;557.0
1996;;Dic;110.0;152.0;3.0;143.990909;97.078947;;;32.0;297.0
;;Nov;353.0;271.0;1.0;120.331444;103.623616;;;16.0;641.0
;;Oct;339.0;256.0;1.0;135.955752;101.859375;;;77.0;673.0
;;Sep;198.0;345.0;39.0;132.752525;97.730434;;;20.0;602.0
;;Ago;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0
;;Jul;351.0;260.0;1.0;119.487179;93.542307;;;30.0;642.0
;;Jun;236.0;201.0;14.0;125.317796;109.164179;;;23.0;474.0
;;May;170.0;100.0;5.0;119.711764;93.41;;;30.0;305.0
;;Abr;349.0;396.0;4.0;130.189111;85.815656;;;13.0;762.0
;;Mar;260.0;392.0;0.0;131.965384;101.193877;;;44.0;696.0
;;Feb;179.0;284.0;4.0;128.860335;96.056338;;;9.0;476.0
;;Ene;198.0;309.0;1.0;114.742424;91.145631;;;22.0;530.0
1995;;Dic;171.0;108.0;0.0;128.62573;98.99074;;;99.0;378.0
;;Nov;273.0;349.0;20.0;124.285714;95.406876;;;43.0;685.0
